Title,Album,Artist,Duration
A Song and a Christmas Tree,The Andy Williams Christmas Album,Andy Williams,236964
Alma-Ville,Jazz Impressions Of Black Orpheus (Limited Edition),Vince Guaraldi Trio,298000
Carol Of The Bells,Carol Of The Bells,The Bird And The Bee,124000
Cast Your Fate To The Wind,Jazz Impressions Of Black Orpheus (Limited Edition),Vince Guaraldi Trio,188000
Christmas Is Coming,A Charlie Brown Christmas,Vince Guaraldi Trio,206674
Christmas Time Is Here (Instrumental),A Charlie Brown Christmas,Vince Guaraldi Trio,364416
Christmas Time Is Here (Vocal),A Charlie Brown Christmas,Vince Guaraldi Trio,168350
Für Elise,A Charlie Brown Christmas,Vince Guaraldi Trio,64948
Generique,Jazz Impressions Of Black Orpheus (Limited Edition),Vince Guaraldi Trio,285000
Greensleeves,A Charlie Brown Christmas,Vince Guaraldi Trio,324870
"Hark, The Herald Angels Sing",A Charlie Brown Christmas,Vince Guaraldi Trio,114911
It&#39;s the Most Wonderful Time,The Andy Williams Christmas Album,Andy Williams,153348
Kay Thompson&#39;s Jingle Bells,The Andy Williams Christmas Album,Andy Williams,125476
Linus And Lucy,A Charlie Brown Christmas,Vince Guaraldi Trio,187798
Manha De Carnaval,Jazz Impressions Of Black Orpheus (Limited Edition),Vince Guaraldi Trio,348000
Medley: Happy Holiday,The Andy Williams Christmas Album,Andy Williams,159328
Moon River,Jazz Impressions Of Black Orpheus (Limited Edition),Vince Guaraldi Trio,318000
My Little Drum,A Charlie Brown Christmas,Vince Guaraldi Trio,193986
O Holy Night,The Andy Williams Christmas Album,Andy Williams,204074
O Nosso Amor,Jazz Impressions Of Black Orpheus (Limited Edition),Vince Guaraldi Trio,295000
O Tannenbaum,A Charlie Brown Christmas,Vince Guaraldi Trio,309417
Samba De Orpheus,Jazz Impressions Of Black Orpheus (Limited Edition),Vince Guaraldi Trio,339000
Silent Night Holy Night,The Andy Williams Christmas Album,Andy Williams,135928
Since I Fell For You,Jazz Impressions Of Black Orpheus (Limited Edition),Vince Guaraldi Trio,262000
Skating,A Charlie Brown Christmas,Vince Guaraldi Trio,148486
The Christmas Song,A Charlie Brown Christmas,Vince Guaraldi Trio,196961
The Christmas Song,The Andy Williams Christmas Album,Andy Williams,154362
The First Noel,The Andy Williams Christmas Album,Andy Williams,189176
The Little Drummer Boy,The Andy Williams Christmas Album,Andy Williams,136448
What Child Is This,A Charlie Brown Christmas,Vince Guaraldi Trio,144978
White Christmas,The Andy Williams Christmas Album,Andy Williams,151710
